x,y
63.94,212.66
22.32,74.47
73.65,207.19
8.69,-6.74
42.19,145.37
50.54,159.23
2.65,22.11
54.49,195.96
22.04,40.28
0.65,-12.42
80.58,240.9
15.55,34.37
95.72,287.59
9.67,41.56
84.75,230.4
72.97,201.9
53.62,185.09
55.2,167.32
82.94,224.57
57.74,151.26
70.46,230.17
28.94,95.9
7.98,29.94
27.8,97.58
63.57,183.01
20.95,82.29
26.7,111.74
60.91,176.53
17.11,54.77
37.95,107.01
98.95,285.58
68.46,190.72
84.29,260.22
3.21,0.4
31.55,98.12
94.29,301.55
87.64,256.38
39.56,150.5
91.45,264.18
24.66,82.99
56.14,171.3
89.78,300.77
39.94,138.1
50.95,225.89
9.09,41.49
62.74,196.03
79.21,236.23
38.16,122.88
99.61,251.48
86.08,253.55
1.15,2.91
53.7,136.35
26.68,78.88
43.48,127.91
45.37,180.26
26.34,72.33
50.06,174.32
87.05,305.95
29.84,76.91
15.28,29.84
76.25,200.08
53.04,155.61
0.06,3.4
92.91,287.27
87.87,277.03
5.79,7.43
87.8,276.4
48.6,148.03
6.92,28.03
12.84,9.52
47.53,132.66
87.24,261.89
42.31,137.85
72.99,248.16
20.12,40.67
64.99,260.41
43.81,126.33
22.47,71.29
33.81,94.14
22.02,63.44
7.1,16.5
90.54,266.04
85.96,276.19
66.9,212.05
21.42,100.82
57.1,210.9
47.27,154.65
19.04,26.67
9.69,15.02
46.7,153.91
72.91,197.06
9.84,-16.52
40.26,104.61
24.87,113.29
19.02,42.2
27.85,95.19
24.98,99.11
86.13,253.36
55.03,242.38
83.6,279.58
96.9,330.48
16.63,37.54
48.56,155.25
5.86,42.31
37.9,134.33
78.41,238.78
45.5,97.03
99.54,326.98
55.58,169.45
29.67,82.64
96.87,273.64
74.8,217.47
5.72,1.75
85.27,248.88
15.74,60.15
18.58,58.75
59.5,176.87
11.99,27.91
89.03,272.73
61.94,217.69
41.92,109.72
93.47,273.2
20.43,63.18
39.58,109.3
67.17,201.12
75.19,247.15
7.25,-42.75
99.61,322.47
7.33,30.59
93.33,300.27
88.09,283.21
15.77,39.1
83.37,247.19
98.72,274.81
65.4,238.02
29.94,96.63
66.34,213.98
11.54,35.6
10.7,22.04
60.48,181.21
71.76,228.43
26.4,111.37
48.85,183.6
9.23,11.01
42.36,131.8
77.11,237.99
63.71,193.66
55.17,203.3
42.77,141.21
88.31,270.41
90.39,239.78
58.25,169.03
14.81,61.38
89.9,287.03
79.61,271.27
21.01,35.16
24.95,107.65
88.41,291.18
40.64,118.5
92.99,276.0
86.46,300.47
88.14,263.98
2.48,10.92
93.08,266.33
80.22,269.63
26.68,57.52
78.74,272.78
85.86,288.06
22.24,80.74
30.52,76.26
79.53,244.2
19.31,67.26
32.83,137.86
27.91,49.42
64.15,151.92
53.62,199.08
93.92,326.49
17.86,93.76
96.25,292.82
43.46,144.92
72.85,212.91
51.14,183.57
38.52,106.97
70.88,210.54
0.17,27.71
71.94,209.61
74.2,218.5
7.0,9.28
66.42,195.88
84.8,274.6
71.98,215.59
40.84,143.87
40.24,122.77
42.04,141.13
94.04,268.08
61.55,150.89
30.09,94.73
28.69,90.9
42.99,108.41
46.5,130.45
