area,bedrooms,bathrooms,age,distance,school,price
73.8,5,1,26.5,22.5,10,163.75
159.6,4,4,7.2,15.7,2,266.73
107.4,1,4,0.3,22.4,8,235.99
100.3,3,4,30.0,13.3,2,183.83
194.6,1,3,8.6,4.4,10,339.59
123.8,4,4,2.7,22.4,9,353.81
149.7,1,4,15.2,19.0,10,307.38
154.9,4,4,15.4,20.3,10,316.77
94.9,2,1,28.9,13.6,2,115.04
78.5,2,1,18.8,12.0,8,158.31
192.9,5,3,16.8,17.1,5,283.43
189.7,4,4,6.1,21.0,1,270.69
56.6,5,4,24.1,23.2,6,228.85
147.1,5,4,24.2,14.4,1,251.25
216.3,3,4,27.5,3.4,9,391.71
86.6,4,4,28.2,16.6,8,312.02
124.0,2,4,4.4,23.0,2,237.88
236.4,1,2,7.4,15.9,9,327.58
241.3,3,2,0.2,16.9,10,384.59
148.4,2,2,14.2,4.1,10,248.66
225.2,5,3,2.5,17.0,3,352.74
111.2,4,4,24.2,13.5,4,195.13
125.2,1,4,26.6,2.2,6,231.23
239.0,1,4,9.8,8.3,6,313.13
232.8,4,4,17.1,20.3,3,310.52
174.7,4,2,20.4,2.7,7,317.94
56.8,2,1,19.4,23.3,1,22.25
87.7,1,2,19.4,6.2,9,235.77
228.9,2,2,19.8,5.5,5,289.8
65.7,3,2,10.3,7.3,8,244.98
249.8,4,3,14.0,8.8,8,377.87
154.9,3,1,25.4,6.6,2,219.08
225.7,3,4,16.4,21.0,3,325.48
81.4,5,2,3.3,18.2,9,255.94
200.2,2,3,16.9,17.1,3,274.3
241.0,2,1,20.5,19.2,3,252.24
179.2,1,3,8.3,21.1,5,258.59
101.2,1,4,26.0,22.7,5,170.5
132.9,1,1,2.9,1.6,2,229.71
247.6,3,3,23.4,15.6,10,396.05
57.6,4,3,18.2,15.3,7,269.22
187.3,5,3,11.7,23.7,6,302.98
61.5,4,1,8.4,8.9,2,154.88
167.1,1,3,5.9,2.3,2,289.53
82.4,1,1,1.1,13.5,10,187.25
55.8,5,2,10.7,10.2,4,176.95
205.3,2,2,5.5,1.7,9,352.38
101.0,2,2,0.7,7.6,8,234.17
133.6,3,2,28.3,15.2,3,158.07
242.3,5,3,10.2,13.5,6,374.26
61.3,1,2,14.1,24.3,9,191.28
231.2,4,3,28.5,6.6,5,307.35
118.7,2,3,10.8,16.3,9,283.17
184.7,3,2,4.7,10.9,8,275.04
